"","predict","p0","p1","StdErr","left"
"1",1,0.464025449620625,0.535974550379375,0.0530323995648292,1
"2",1,0.532681963554972,0.467318036445028,0.0500371123665116,1
"3",0,0.834529408329692,0.165470591670308,0.046270527642461,1
"4",1,0.542449827025295,0.457550172974705,0.0496928232636631,1
"5",1,0.288473645994882,0.711526354005118,0.0674184456337085,1
"6",1,0.532681963554972,0.467318036445028,0.0500371123665116,1
"7",1,0.532681963554972,0.467318036445028,0.0500371123665116,1
"8",1,0.296605655554791,0.703394344445209,0.0668061705252695,1
"9",1,0.532681963554972,0.467318036445028,0.0500371123665116,1
"10",1,0.483616318075168,0.516383681924832,0.0520770557471142,1
"11",1,0.321774124739876,0.678225875260124,0.0650474306518158,1
"12",1,0.316848238109335,0.683151761890665,0.0783014526170722,1
"13",1,0.454267717125559,0.545732282874441,0.0535378929811383,1
"14",1,0.438644663695409,0.561355336304591,0.0786450187284237,1
"15",0,0.929033979126821,0.0709660208731794,0.0600995129807452,1
"16",0,0.973568308675956,0.0264316913240436,0.114951881862872,1
"17",1,0.630569456933596,0.369430543066404,0.055643469391939,1
"18",0,0.852304526188177,0.147695473811823,0.0556443021798098,1
"19",1,0.373859752594788,0.626140247405212,0.0622485400635319,1
"20",1,0.405842557346393,0.594157442653607,0.0681621264615667,1
"21",1,0.532681963554972,0.467318036445028,0.0500371123665116,1
"22",1,0.464025449620625,0.535974550379375,0.0530323995648292,1
"23",0,0.839884511652873,0.160115488347127,0.0469812299638261,1
"24",1,0.304868682098476,0.695131317901524,0.0662066753449857,1
"25",1,0.522888982835014,0.477111017164986,0.0504032774275942,1
"26",1,0.454267717125559,0.545732282874441,0.0535378929811383,1
"27",0,0.895250756354371,0.104749243645629,0.0630310425243349,1
"28",1,0.454267717125559,0.545732282874441,0.0535378929811383,1
"29",1,0.296605655554791,0.703394344445209,0.0668061705252695,1
"30",1,0.304868682098476,0.695131317901524,0.0662066753449857,1
"31",1,0.583750264771564,0.416249735228436,0.0575842475302569,1
"32",1,0.564537659201277,0.435462340798723,0.0584887881091718,1
"33",1,0.621369712900481,0.378630287099519,0.0559934103150075,1
"34",1,0.419395960453381,0.580604039546619,0.0795093828718385,1
"35",1,0.565659764961619,0.434340235038381,0.0743945432948586,1
"36",1,0.630569456933596,0.369430543066404,0.055643469391939,1
"37",1,0.513078372676943,0.486921627323057,0.0507908453198604,1
"38",1,0.574171956463066,0.425828043536934,0.058027760885229,1
"39",1,0.304868682098476,0.695131317901524,0.0662066753449857,1
"40",1,0.454267717125559,0.545732282874441,0.0535378929811383,1
"41",1,0.483616318075168,0.516383681924832,0.0520770557471142,1
"42",1,0.64395862033583,0.35604137966417,0.109905345328517,1
"43",0,0.660414971398285,0.339585028601715,0.115709054771862,1
"44",1,0.542449827025295,0.457550172974705,0.0496928232636631,1
"45",1,0.454267717125559,0.545732282874441,0.0535378929811383,1
